name,ISIN,symbol,market,trading currency
1000MERCIS,FR0010285965,ALMIL,Euronext Growth Paris,EUR
2020 BULKERS,BMG9156K1018,2020,Oslo Børs,NOK
2CRSI,FR0013341781,2CRSI,Euronext Paris,EUR
2MX ORGANIC,FR0014000T90,2MX,Euronext Paris,EUR
2MX ORGANIC BS,FR0014000TB2,2MXBS,Euronext Paris,EUR
5TH PLANET GAMES,DK0060945467,5PG,Euronext Expand Oslo,NOK
A TOUTE VITESSE,FR0010050773,MLATV,Euronext Access Paris,EUR
A.S.T. GROUPE,FR0000076887,ASP,Euronext Paris,EUR
AALBERTS NV,NL0000852564,AALB,Euronext Amsterdam,EUR
AASEN SPAREBANK,NO0010672181,AASB,Euronext Growth Oslo,NOK
AB INBEV,BE0974293251,ABI,Euronext Brussels,EUR
AB SCIENCE,FR0010557264,AB,Euronext Paris,EUR
ABATTOIR,BE0946377455,-,Euronext Expert Market,EUR
ABC ARBITRAGE,FR0004040608,ABCA,Euronext Paris,EUR
ABEO,FR0013185857,ABEO,Euronext Paris,EUR
ABG SUNDAL COLLIER,NO0003021909,ABG,Oslo Børs,NOK
ABIONYX PHARMA,FR0012616852,ABNX,Euronext Paris,EUR
ABIVAX,FR0012333284,ABVX,Euronext Paris,EUR
ABN AMRO BANK N.V.,NL0011540547,ABN,Euronext Amsterdam,EUR
ABO GROUP,BE0974278104,ABO,Euronext Brussels,
ACACIA PHARMA,GB00BYWF9Y76,ACPH,Euronext Brussels,EUR
ACANTHE DEV.,FR0000064602,ACAN,Euronext Paris,EUR
ACCELL GROUP,NL0009767532,ACCEL,Euronext Amsterdam,EUR
ACCENTIS,BE0003696102,ACCB,Euronext Brussels,EUR
ACCOR,FR0000120404,AC,Euronext Paris,EUR
ACCOR AC SHARES,FR0014003PZ3,AAC,Euronext Paris,EUR
ACCOR AC WARRANTS,FR0014003QK3,AACW,Euronext Paris,EUR
ACCSYS,GB00BQQFX454,AXS,Euronext Amsterdam,EUR
ACHETER-LOUER.FR,FR00140072P8,ALALO,Euronext Growth Paris,EUR
ACKERMANS V.HAAREN,BE0003764785,ACKB,Euronext Brussels,EUR
ACTEOS,FR0000076861,EOS,Euronext Paris,EUR
ACTIA GROUP,FR0000076655,ATI,Euronext Paris,EUR
ACTICOR BIOTECH,FR0014005OJ5,ALACT,Euronext Growth Paris,EUR
ACTIVIUM GROUP,FR0010979377,MLACT,Euronext Access Paris,EUR
ACVLHO,BE0010012210,-,Euronext Expert Market,EUR
ADA,FR0000053076,ALADA,Euronext Growth Paris,EUR
ADC SIIC,BE0974269012,ALDV,Euronext Paris,EUR
ADEUNIS,FR0013284627,ALARF,Euronext Growth Paris,EUR
ADEVINTA,NO0010844038,ADE,Oslo Børs,NOK
ADOCIA,FR0011184241,ADOC,Euronext Paris,EUR
ADOMOS,FR0013247244,ALADO,Euronext Growth Paris,EUR
ADP,FR0010340141,ADP,Euronext Paris,EUR
ADS MARITIME HOLD,CY0108052115,ADS,Euronext Growth Oslo,NOK
ADUX,FR0012821890,ADUX,Euronext Paris,
ADVENIS,FR0004152874,ALADV,Euronext Growth Paris,EUR
ADVICENNE,FR0013296746,ADVIC,Euronext Paris,
ADVINI,FR0000053043,ADVI,Euronext Paris,EUR
ADYEN,NL0012969182,ADYEN,Euronext Amsterdam,EUR
AEDIFICA,BE0003851681,AED,Euronext Brussels,
AEGA,NO0010626559,AEGA,Euronext Expand Oslo,NOK
AEGON,NL0000303709,AGN,Euronext Amsterdam,EUR
AERKOMM INC,US00774B2088,AKOM,Euronext Paris,EUR
AF GRUPPEN,NO0003078107,AFG,Oslo Børs,NOK
AFFLUENT MEDICAL,FR0013333077,AFME,Euronext Paris,EUR
AFYREN,FR0014005AC9,ALAFY,Euronext Growth Paris,EUR
AG3I,FR0011908045,MLAGI,Euronext Access Paris,EUR
AGEAS,BE0974264930,AGS,Euronext Brussels,EUR
AGENCE AUTO,FR0014005WE9,MLAA,Euronext Access Paris,EUR
AGENCE MARIT MINNE,BE0024915838,-,Euronext Expert Market,EUR
AGFA-GEVAERT,BE0003755692,AGFB,Euronext Brussels,EUR
AGILYX,NO0010872468,AGLX,Euronext Growth Oslo,NOK
AGP MALAGA SOCIMI,ES0105478004,MLAGP,Euronext Access Paris,EUR
AGRIPOWER,FR0013452281,ALAGP,Euronext Growth Paris,EUR
AGROGENERATION,FR0010641449,ALAGR,Euronext Growth Paris,EUR
