symbol,exchange_name,start_date,end_date,interval
BTC/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
DOGE/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
MANA/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
CHZ/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
AAVE/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
BNB/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
ETH/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
MATIC/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
XRP/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SAND/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
CRV/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
TRX/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
GRT/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SRM/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
FTM/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
LTC/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
RUNE/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
UNI/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SUSHI/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
LRC/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
LINK/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
BCH/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
AXS/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
RAY/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SOL/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
AVAX/USDT,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
