symbol,exchange_name,start_date,end_date,interval
SYNTHETICGRIDTRADING1,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING2,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING3,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING4,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING5,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING6,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING7,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING8,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING9,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
SYNTHETICGRIDTRADING10,binance,2022-01-01 00:00:00,2022-02-01 00:00:00,1h
